Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_56_283,VGND,li1,133.6300,157.7600,0.000007
FILLER_56_280,VGND,li1,132.2500,157.7600,0.000007
FILLER_56_277,VGND,li1,130.8700,157.7600,0.000008
FILLER_56_274,VGND,li1,129.4900,157.7600,0.000009
FILLER_56_271,VGND,li1,128.1100,157.7600,0.000009
FILLER_56_268,VGND,li1,126.7300,157.7600,0.000010
FILLER_56_265,VGND,li1,125.3500,157.7600,0.000011
FILLER_56_262,VGND,li1,123.9700,157.7600,0.000011
FILLER_56_259,VGND,li1,122.5900,157.7600,0.000012
FILLER_56_256,VGND,li1,121.2100,157.7600,0.000013
FILLER_56_253,VGND,li1,119.8300,157.7600,0.000013
FILLER_56_250,VGND,li1,118.2200,157.7600,0.000014
FILLER_56_247,VGND,li1,117.0700,157.7600,0.000015
FILLER_56_244,VGND,li1,115.6900,157.7600,0.000015
FILLER_56_231,VGND,li1,109.2500,157.7600,0.000014
FILLER_56_228,VGND,li1,108.3300,157.7600,0.000014
FILLER_56_225,VGND,li1,106.9500,157.7600,0.000014
FILLER_56_222,VGND,li1,105.5700,157.7600,0.000014
